                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                  27                 365     0.224500000E-04     0.488258677E+03     0.228994815E+04     0.284723517E+02     0.384539314E+03     0.430587719E+02     0.246006478E+03     0.396475874E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.237700186E+05
                  28                 365     0.224500000E-04     0.491902123E+03     0.259016583E+04     0.287041153E+02     0.437462303E+03     0.451600090E+02     0.312451234E+03     0.478372193E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233435990E+05
                  29                 365     0.224500000E-04     0.493817595E+03     0.287961162E+04     0.288259607E+02     0.486019332E+03     0.469985412E+02     0.382761458E+03     0.569340137E+01     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.229304661E+05
                  30                 365     0.224500000E-04     0.493478172E+03     0.315043697E+04     0.288108263E+02     0.529325120E+03     0.485270503E+02     0.454926921E+03     0.138754907E+02     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.225293015E+05
                  31                 365     0.224500000E-04     0.133164479E+03     0.476326947E+03     0.617860676E+01     0.150166960E+02     0.431170147E+01     0.144249006E+01     0.262681917E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.239916503E+05
                  32                 365     0.224500000E-04     0.305218165E+03     0.841617844E+03     0.168290460E+02     0.690569077E+02     0.174973226E+02     0.145845976E+02     0.262399432E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.233658864E+05
                  33                 365     0.224500000E-04     0.395672087E+03     0.119380200E+04     0.225828148E+02     0.139899749E+03     0.274532692E+02     0.435176027E+02     0.262134270E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.228102584E+05
                  34                 365     0.224500000E-04     0.443226501E+03     0.153334970E+04     0.256078044E+02     0.213252196E+03     0.339132693E+02     0.849101874E+02     0.261882937E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.223013352E+05
                  35                 365     0.224500000E-04     0.468227321E+03     0.186071434E+04     0.271981346E+02     0.283101658E+03     0.383296151E+02     0.135811829E+03     0.261643097E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.218245361E+05
                  36                 365     0.224500000E-04     0.481371022E+03     0.217633305E+04     0.280342202E+02     0.347396495E+03     0.415692277E+02     0.194098312E+03     0.261413608E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.213713550E+05
                  37                 365     0.224500000E-04     0.488281071E+03     0.248062727E+04     0.284737761E+02     0.405879066E+03     0.441137230E+02     0.258222306E+03     0.261193967E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.209367107E+05
                  38                 365     0.224500000E-04     0.491913896E+03     0.277400333E+04     0.287048642E+02     0.459022846E+03     0.462331572E+02     0.327031428E+03     0.260983994E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.205174591E+05
                  39                 365     0.224500000E-04     0.493823784E+03     0.305685298E+04     0.288263544E+02     0.507529710E+03     0.480818500E+02     0.399648918E+03     0.260783669E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.201115738E+05
                  40                 365     0.224500000E-04     0.493486066E+03     0.332435709E+04     0.288110506E+02     0.550537891E+03     0.496116272E+02     0.473986249E+03     0.261898760E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.197176892E+05
                  41                 365     0.224500000E-04     0.134414434E+03     0.172995904E+04     0.624545672E+01     0.364218234E+02     0.523984614E+01     0.257194535E+01     0.736671681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.179733185E+05
                  42                 365     0.224500000E-04     0.305875305E+03     0.205026928E+04     0.168708428E+02     0.123606649E+03     0.195543048E+02     0.203418135E+02     0.735856170E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.173595629E+05
                  43                 365     0.224500000E-04     0.396017566E+03     0.235908670E+04     0.226047911E+02     0.217338000E+03     0.302257378E+02     0.568696083E+02     0.735060296E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.168217283E+05
                  44                 365     0.224500000E-04     0.443408130E+03     0.265682367E+04     0.256193580E+02     0.306128055E+03     0.371916520E+02     0.107741758E+03     0.734280450E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.163346430E+05
                  45                 365     0.224500000E-04     0.468322809E+03     0.294387776E+04     0.272042087E+02     0.386007476E+03     0.419625361E+02     0.169253941E+03     0.733514217E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.158825085E+05
                  46                 365     0.224500000E-04     0.481421223E+03     0.322063227E+04     0.280374135E+02     0.456415583E+03     0.454447343E+02     0.238741388E+03     0.732760372E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.154559222E+05
                  47                 365     0.224500000E-04     0.488307463E+03     0.348745676E+04     0.284754550E+02     0.518183938E+03     0.481491860E+02     0.314271275E+03     0.732018328E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.150491426E+05
                  48                 365     0.224500000E-04     0.491927771E+03     0.374470751E+04     0.287057469E+02     0.572582202E+03     0.503677726E+02     0.394419173E+03     0.731287821E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.146585410E+05
                  49                 365     0.224500000E-04     0.493831079E+03     0.399272804E+04     0.288268184E+02     0.620894335E+03     0.522710021E+02     0.478119172E+03     0.730568747E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.142817361E+05
                  50                 365     0.224500000E-04     0.493495364E+03     0.423497176E+04     0.288113218E+02     0.662385130E+03     0.538112693E+02     0.562912448E+03     0.729882851E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.139171041E+05
                  51                 365     0.224500000E-04     0.135885886E+03     0.558138423E+04     0.632446720E+01     0.102658990E+03     0.636796616E+01     0.108849638E+02     0.737044715E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.140409011E+05
                  52                 365     0.224500000E-04     0.306648892E+03     0.576350430E+04     0.169200463E+02     0.291271088E+03     0.234432592E+02     0.406972272E+02     0.736233231E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.134497372E+05
                  53                 365     0.224500000E-04     0.396424265E+03     0.593908986E+04     0.226306617E+02     0.455156770E+03     0.363173703E+02     0.982624483E+02     0.735446186E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.129520014E+05
                  54                 365     0.224500000E-04     0.443621944E+03     0.610837536E+04     0.256329589E+02     0.591322191E+03     0.448546817E+02     0.176043751E+03     0.734679870E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.125175528E+05
                  55                 365     0.224500000E-04     0.468435217E+03     0.627158685E+04     0.272113591E+02     0.702013273E+03     0.507222114E+02     0.268019968E+03     0.733931632E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.121267968E+05
                  56                 365     0.224500000E-04     0.481480320E+03     0.642894226E+04     0.280411727E+02     0.791219663E+03     0.549512493E+02     0.369858678E+03     0.733199996E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.117675346E+05
                  57                 365     0.224500000E-04     0.488338532E+03     0.658065173E+04     0.284774313E+02     0.863105058E+03     0.581455556E+02     0.478437385E+03     0.732484117E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.114319741E+05
                  58                 365     0.224500000E-04     0.491944105E+03     0.672691781E+04     0.287067859E+02     0.921379039E+03     0.606655634E+02     0.591491751E+03     0.731783479E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.111149856E+05
