                Year                 Doy        Cinput(gC/s)      Foliage(gC/m2)        Woody(gC/m2)   Met_litter(gC/m2)   Str_litter(gC/m2)    Fast_soil(gC/m2)    Slow_soil(gC/m2)    Pass_soil(gC/m2)          I(gC/m2/s)  Residence time(yr)     Capacity(gC/m2)    Potential(gC/m2)
                  27                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  28                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  29                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  30                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  31                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.972535738E-10
                  32                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  33                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  34                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  35                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
                  36                 365     0.224500000E-04     0.495940909E+03     0.106571566E+05     0.289610271E+02     0.155969784E+04     0.107674475E+03     0.706804144E+04     0.733560681E+04     0.707983200E+03     0.384939629E+02     0.272530791E+05     0.971867590E-10
